id1,id2
118076,98876
118076,39499
118076,43216
118076,12861
118076,78152
118076,117674
118076,80245
118076,102438
118076,24855
118076,52036
118076,97971
118076,81287
118076,4279
118076,7584
118076,57490
118076,13514
118076,126124
118076,3912
118076,47971
118076,106459
118076,56108
118076,66558
118076,105797
118076,77662
118076,84985
118076,22835
118076,92741
118076,94646
118076,22254
118076,92783
118076,59352
118076,124122
118076,104144
117674,98876
117674,43216
117674,78152
117674,98246
117674,97971
117674,81287
117674,57490
117674,13514
117674,106459
117674,92741
117674,22254
117674,35983
117674,105386
21372,41391
21372,102659
21372,60009
21372,22254
21372,117130
41391,78152
41391,47405
41391,60009
125095,54453
125095,78152
125095,106030
125095,45408
125095,20724
125095,54026
125095,145745
125095,105884
125095,119008
125095,59093
125095,97979
125095,4099
125095,3739
125095,15247
125095,22254
125095,71995
125095,117130
125095,43073
125095,92569
125095,59375
125095,63598
125095,105287
95792,98876
95792,43216
95792,78152
95792,7584
95792,57490
95792,13514
95792,47971
95792,106459
95792,92741
17033,128481
17033,98876
17033,43216
17033,95792
17033,104990
17033,147648
17033,99188
17033,81287
17033,57490
17033,92741
17033,35983
17033,59352
17033,52837
17033,127038
17033,105287
17033,26489
96672,98876
96672,43216
96672,12861
96672,95792
96672,99188
96672,81287
96672,57490
96672,22835
96672,92741
96672,22254
96672,35983
96672,105287
96672,26489
88755,78152
88755,94646
37475,128481
37475,98876
37475,39499
37475,43216
37475,12861
37475,78152
37475,63684
37475,80245
37475,104990
37475,28687
37475,147648
37475,99188
37475,81287
37475,57490
37475,22835
37475,92741
37475,20423
37475,35983
37475,59352
37475,52837
37475,127038
37475,105287
37475,26489
37475,135613
48784,126199
48784,38839
48784,122251
48784,20724
48784,54026
48784,15247
48784,22254
48784,35983
7439,78152
7439,135402
7439,106498
7439,66709
7439,68928
23908,78152
23908,120211
23908,106030
23908,117455
23908,122251
23908,54026
23908,102715
23908,145745
23908,97979
23908,142563
23908,15247
23908,60009
23908,94646
23908,103140
23908,71995
23908,43073
23908,63598
23908,105287
48293,122251
48293,45408
48293,20724
48293,54026
48293,15247
48293,22254
48293,35983
120211,78152
120211,54026
120211,105287
126199,122251
126199,20724
126199,54026
126199,20872
126199,22254
38839,48784
38839,45408
38839,20724
38839,54026
38839,15247
38839,22254
38839,35983
106030,78152
106030,120211
106030,122251
